1289 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
56101 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
56108 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
56206 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
56220 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
56254 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
56517 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
56517 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
56518 [Test worker] INFO  tests.TestBase     ### Finished ###
56519 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTestPast
56519 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
56533 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
56533 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
56549 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
56587 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTestPast
56588 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
56598 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
56632 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
56645 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
56745 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
56757 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
56852 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
56865 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
56901 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57160 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57161 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTestPast
57161 [Test worker] INFO  tests.TestBase     ### Finished ###
57161 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTestPast
57161 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57178 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57178 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57193 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57231 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTestPast
57231 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
57241 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
57276 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
57289 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
57390 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
57398 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
57495 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
57509 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
57544 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57809 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57809 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTestPast
57810 [Test worker] INFO  tests.TestBase     ### Finished ###
57811 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestMail
57811 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57826 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57826 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57843 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57880 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestMail
57881 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
57889 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
57923 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
57936 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
58037 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
58047 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
58144 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
58160 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
58720 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
68765 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
68765 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestMail
68765 [Test worker] INFO  tests.TestBase     ### Finished ###
68766 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestPass
68766 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
78779 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
78779 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestPass
78779 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
78798 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
78830 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
78845 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
78951 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
78971 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
79074 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
79095 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
79659 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
89690 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
89690 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestPass
89695 [Test worker] INFO  tests.TestBase     ### Finished ###
89696 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTest
89697 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
99755 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
99756 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTest
99756 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
99756 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
99772 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
99804 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
99820 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
99950 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
99960 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
100083 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
100102 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
100136 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
100467 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
100467 [Test worker] INFO  manager.NGListener  Test success: regPositiveTest
100468 [Test worker] INFO  tests.TestBase     ### Finished ###
100468 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
100469 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
100483 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
100483 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
100502 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
100535 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
100535 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
100535 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
100546 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
100580 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
100593 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
100713 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
100735 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
100849 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
100860 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
100895 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
101224 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
101224 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
101224 [Test worker] INFO  tests.TestBase     ### Finished ###
101225 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
101225 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
101241 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
101242 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
101255 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
101291 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
101292 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
101292 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
101302 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
101336 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
101350 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
101468 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
101475 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
101589 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
101601 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
101637 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
101962 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
101962 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
101963 [Test worker] INFO  tests.TestBase     ### Finished ###
101963 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
101963 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
101981 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
101981 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
101995 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
102032 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
102032 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
102032 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
102042 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
102077 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
102090 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
102213 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
102234 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
102350 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
102360 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
102394 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
102720 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
102720 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
102721 [Test worker] INFO  tests.TestBase     ### Finished ###
