1289 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
1938 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestEmail
1940 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
11977 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
11977 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestEmail
11979 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
11993 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
12051 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
12070 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
12192 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
12212 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
12324 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
12340 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
13423 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
23449 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
23452 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestEmail
23453 [Test worker] INFO  tests.TestBase     ### Finished ###
23454 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestPassword
23454 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
33484 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
33485 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestPassword
33485 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
33502 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
33545 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
33564 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
33756 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
33769 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
33922 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
33942 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
34516 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
44561 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
44561 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestPassword
44562 [Test worker] INFO  tests.TestBase     ### Finished ###
44567 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
44568 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
54582 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
54582 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
54587 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
54597 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
54627 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
54643 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
54761 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
54773 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
54878 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
54898 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
54932 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55194 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55195 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
55196 [Test worker] INFO  tests.TestBase     ### Finished ###
55197 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
55197 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55211 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55211 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55229 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55266 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
55266 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
55287 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
55321 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
55334 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
55439 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
55462 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
55559 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
55573 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
55604 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55872 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55872 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
55872 [Test worker] INFO  tests.TestBase     ### Finished ###
55873 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
55873 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55889 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55889 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55905 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55943 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
55943 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
55951 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
55985 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
55997 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
