1823 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
2491 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTestPast
2493 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
12559 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
12560 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTestPast
12561 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
12577 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
12632 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
12654 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
12770 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
12794 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
12904 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
12918 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
12951 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13898 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13901 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTestPast
13902 [Test worker] INFO  tests.TestBase     ### Finished ###
13902 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTestPast
13903 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13915 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13916 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13935 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13969 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTestPast
13969 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
13978 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
14018 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
14039 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
14159 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
14182 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
14297 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
14308 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
14343 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
14604 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
14604 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTestPast
14605 [Test worker] INFO  tests.TestBase     ### Finished ###
