1176 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
58256 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
58267 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
58378 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
58393 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
58949 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
68973 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
68973 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestMail
68973 [Test worker] INFO  tests.TestBase     ### Finished ###
68974 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestPass
68974 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
79044 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
79044 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestPass
79045 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
79063 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
79094 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
79108 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
79217 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
79233 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
79338 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
79360 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
79917 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
89934 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
89934 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestPass
89935 [Test worker] INFO  tests.TestBase     ### Finished ###
89935 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTest
89936 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
99950 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
99950 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTest
99950 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
99951 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
99965 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
99995 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
100011 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
100120 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
100137 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
100256 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
100262 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
100297 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
100617 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
100617 [Test worker] INFO  manager.NGListener  Test success: regPositiveTest
100618 [Test worker] INFO  tests.TestBase     ### Finished ###
100619 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
100619 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
100634 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
100634 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
100653 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
100686 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
100686 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
100686 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
100698 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
100731 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
100745 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
100865 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
100884 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
100999 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
101010 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
101045 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
101369 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
101369 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
101370 [Test worker] INFO  tests.TestBase     ### Finished ###
101370 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
101370 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
101386 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
101386 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
101402 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
101436 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
101436 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
101436 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
101447 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
101479 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
101494 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
101598 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
101620 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
101733 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
101743 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
101777 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
102102 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
102103 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
102103 [Test worker] INFO  tests.TestBase     ### Finished ###
102103 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
102104 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
102119 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
102120 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
102134 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
102175 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
102175 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
102175 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
102183 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
102217 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
102231 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
102349 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
102371 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
102489 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
102497 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
102530 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
102857 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
102857 [Test worker] INFO  manager.NGListener  Test success: regPositiveTestWithCVS
102857 [Test worker] INFO  tests.TestBase     ### Finished ###
