1225 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
1984 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestEmail
1986 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
12009 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
12011 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestEmail
12012 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
12025 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
12087 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
12102 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
12222 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
12247 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
12358 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
12370 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
13450 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
23476 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
23479 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestEmail
23480 [Test worker] INFO  tests.TestBase     ### Finished ###
23481 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestPassword
23481 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
33554 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
33554 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestPassword
33554 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
33570 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
33603 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
33614 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
33747 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
33758 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
33868 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
33885 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
34443 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
44467 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
44467 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestPassword
44467 [Test worker] INFO  tests.TestBase     ### Finished ###
44472 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
44472 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
54523 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
54523 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
54528 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
54539 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
54571 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
54587 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
54700 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
54712 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
54834 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
54852 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
54886 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55149 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55149 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
55150 [Test worker] INFO  tests.TestBase     ### Finished ###
55150 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
55151 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
