1225 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
55167 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55167 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55184 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55220 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
55221 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
55229 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
55262 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
55275 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
55393 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
55403 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
55518 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
55529 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
55563 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55822 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55822 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
55822 [Test worker] INFO  tests.TestBase     ### Finished ###
55823 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
55823 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55838 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55838 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
55854 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
55891 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
55891 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
55901 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
55937 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
55948 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
56066 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
56074 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
56190 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
56201 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
56237 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
56496 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
56496 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
56497 [Test worker] INFO  tests.TestBase     ### Finished ###
56498 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTestPast
56499 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
56513 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
56513 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
56529 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
56566 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTestPast
56566 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
56577 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
56611 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
56624 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
56742 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
56750 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
56866 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
56878 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
56917 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57178 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57179 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTestPast
57179 [Test worker] INFO  tests.TestBase     ### Finished ###
57179 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTestPast
57180 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57196 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57196 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57213 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57249 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTestPast
57249 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
57260 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
57294 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
57307 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
57423 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
57431 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
57548 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
57558 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
57596 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57852 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57852 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTestPast
57852 [Test worker] INFO  tests.TestBase     ### Finished ###
57853 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestMail
57853 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57871 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57871 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57885 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57924 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestMail
57924 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
57932 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
57969 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
57980 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
58096 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
58107 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
58218 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
58236 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
58801 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
68823 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
68823 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestMail
68824 [Test worker] INFO  tests.TestBase     ### Finished ###
68824 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestPass
68824 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
78852 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
78852 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestPass
78852 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
78868 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
78901 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
78918 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
79043 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
79060 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
79164 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
79188 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
79750 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
89822 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
89822 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestPass
89822 [Test worker] INFO  tests.TestBase     ### Finished ###
89822 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTest
89822 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
99864 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
99864 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTest
99864 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
99864 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
99881 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
99913 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
99928 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
100038 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
100054 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
100177 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
100196 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
100229 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
100555 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
100555 [Test worker] INFO  manager.NGListener  Test success: regPositiveTest
100556 [Test worker] INFO  tests.TestBase     ### Finished ###
100557 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
100557 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
100573 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
100573 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
100592 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
100624 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
100624 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
100624 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
100636 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
100670 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
100685 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
100804 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
100812 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
100925 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
100939 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
100974 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
101174 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
101175 [Test worker] INFO  manager.NGListener  Test failure: java.lang.AssertionError: expected [true] but found [false]
101176 [Test worker] INFO  tests.TestBase     ### Finished ###
101176 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTestWithCVS
101176 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
101190 [Test worker] INFO  manager.MyListener  Something went wrong!
101190 [Test worker] INFO  manager.MyListener  unexpected alert open: {Alert text : User already exist}
  (Session info: chrome=112.0.5615.87): User already exist
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'HOME-PC', ip: '10.100.102.4', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.16.1'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 112.0.5615.87, chrome: {chromedriverVersion: 112.0.5615.49 (bd2a7bcb881c..., userDataDir: C:\Temp\scoped_dir5580_1031...}, goog:chromeOptions: {debuggerAddress: localhost:51355}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 8454ec15ac29c55c342e117017a68049
*** Element info: {Using=xpath, value=//button[.='Sign Out']}
101190 [Test worker] INFO  manager.MyListener  unexpected alert open: {Alert text : User already exist}
  (Session info: chrome=112.0.5615.87): User already exist
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'HOME-PC', ip: '10.100.102.4', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.16.1'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 112.0.5615.87, chrome: {chromedriverVersion: 112.0.5615.49 (bd2a7bcb881c..., userDataDir: C:\Temp\scoped_dir5580_1031...}, goog:chromeOptions: {debuggerAddress: localhost:51355}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 8454ec15ac29c55c342e117017a68049
*** Element info: {Using=xpath, value=//button[.='Sign Out']}
101373 [Test worker] INFO  manager.MyListener  Here is the link to screenshot with error: src/test/screenshots/screenshot-942.png
101374 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
101376 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
111398 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
111398 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTestWithCVS
