2719 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
3399 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestEmail
3402 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13469 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13470 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestEmail
13471 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
13486 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
13545 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
13565 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
13665 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
13691 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
13781 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
13799 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
14884 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
24937 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
24939 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestEmail
24940 [Test worker] INFO  tests.TestBase     ### Finished ###
24941 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestPassword
24942 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
34985 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
34985 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestPassword
34985 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
34999 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
35037 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
35048 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
35164 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
35174 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
35295 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
35315 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
35880 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
