3304 [Test worker] INFO  manager.ApplicationManager  Testing on Firefox Driver
102352 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
102369 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
102649 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
102664 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
102925 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
102931 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
103164 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
103272 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
103272 [Test worker] INFO  manager.NGListener  Test success: regPositiveTest
103273 [Test worker] INFO  tests.TestBase     ### Finished ###
