3304 [Test worker] INFO  manager.ApplicationManager  Testing on Firefox Driver
4072 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestEmail
4073 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
14105 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
14106 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestEmail
14108 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
14119 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
14366 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
14381 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
14671 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
14679 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
14954 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
14959 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
16249 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
26275 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
26278 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestEmail
26279 [Test worker] INFO  tests.TestBase     ### Finished ###
26280 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestPassword
26281 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
36296 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
36296 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestPassword
36296 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
36312 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
36546 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
36562 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
36844 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
36858 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
37129 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
37136 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
37902 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
47929 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
47929 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestPassword
47929 [Test worker] INFO  tests.TestBase     ### Finished ###
47930 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
47931 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57957 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57958 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
57958 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
57975 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
58205 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
58223 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
58502 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
58519 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
58791 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
58797 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
59031 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
59093 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
59093 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
59094 [Test worker] INFO  tests.TestBase     ### Finished ###
59097 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestMail
59097 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
59111 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
59111 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
59127 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
59358 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestMail
59359 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
59376 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
59607 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
59625 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
59901 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
59919 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
60189 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
60196 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
60965 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
70978 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
70978 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestMail
70979 [Test worker] INFO  tests.TestBase     ### Finished ###
70979 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestPass
70980 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
81002 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
81002 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestPass
81003 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
81018 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
81249 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
81267 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
81552 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
81563 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
81834 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
81842 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
82063 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
92076 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
92077 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestPass
92077 [Test worker] INFO  tests.TestBase     ### Finished ###
92078 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTest
92078 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
102103 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
102103 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTest
102103 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
102103 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
102119 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
