1181 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
2277 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestEmail
2280 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
12319 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
12320 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestEmail
12321 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
12349 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
12409 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
12427 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
12551 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
12568 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
12676 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
12691 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
13775 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
