1831 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
2561 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
2562 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
12606 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
12606 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
12607 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
12623 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
12681 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
12699 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
12818 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
12840 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
12948 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
12961 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
12996 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13945 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13948 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
13949 [Test worker] INFO  tests.TestBase     ### Finished ###
13950 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
13950 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13961 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13961 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13978 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
14013 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
14013 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
14022 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
14056 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
14070 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
14187 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
14209 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
14306 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
14318 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
14353 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
14614 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
14615 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
14615 [Test worker] INFO  tests.TestBase     ### Finished ###
14616 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
14616 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
14631 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
14631 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
14646 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
14683 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
14684 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
14693 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
14728 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
14740 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
14864 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
14883 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
14994 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
15008 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
15042 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
15304 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
15305 [Test worker] INFO  manager.NGListener  Test success: loginPositiveTest
15305 [Test worker] INFO  tests.TestBase     ### Finished ###
