3134 [Test worker] INFO  manager.ApplicationManager  Testing on Firefox Driver
81757 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
82031 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
82036 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
82275 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
92293 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
92293 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestPass
92294 [Test worker] INFO  tests.TestBase     ### Finished ###
92295 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTest
92295 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
102312 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
102313 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTest
102313 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
102313 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
102328 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
102562 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
102580 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
102863 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
102875 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
103154 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
103174 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
103402 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
103496 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
103496 [Test worker] INFO  manager.NGListener  Test success: regPositiveTest
103497 [Test worker] INFO  tests.TestBase     ### Finished ###
