1777 [Test worker] INFO  manager.ApplicationManager  Testing on Chrome Driver
2443 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestMail
2444 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
12471 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
12472 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestMail
12472 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
12489 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
12530 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
12551 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
12651 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
12661 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
12755 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
12769 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
13856 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
23895 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
23898 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestMail
23899 [Test worker] INFO  tests.TestBase     ### Finished ###
23901 [Test worker] INFO  tests.TestBase     ### Start test regNegativeTestPass
23901 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
33971 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
33971 [Test worker] INFO  manager.NGListener  Start of the test: regNegativeTestPass
33971 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
33986 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
34020 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
34033 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
34146 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
34160 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
34263 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
34285 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
34846 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
44866 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
44866 [Test worker] INFO  manager.NGListener  Test success: regNegativeTestPass
44867 [Test worker] INFO  tests.TestBase     ### Finished ###
44867 [Test worker] INFO  tests.TestBase     ### Start test regPositiveTest
44868 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
54939 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
54939 [Test worker] INFO  manager.NGListener  Start of the test: regPositiveTest
54940 [Test worker] INFO  tests.TestBase  registrationPositiveTest start with: 
54940 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
54955 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
54985 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
55000 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
55110 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
55124 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
55228 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[2]
55235 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[2] is found successful
55268 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[text()='ADD']
55594 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[text()='ADD'] is found successful
55594 [Test worker] INFO  manager.NGListener  Test success: regPositiveTest
55595 [Test worker] INFO  tests.TestBase     ### Finished ###
