3161 [Test worker] INFO  manager.ApplicationManager  Testing on Firefox Driver
3725 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestEmail
3727 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
13767 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
13768 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestEmail
13770 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
13783 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
14030 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
14048 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
14332 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
14343 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
14615 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
14620 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
15921 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
25937 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
25940 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestEmail
25941 [Test worker] INFO  tests.TestBase     ### Finished ###
25942 [Test worker] INFO  tests.TestBase     ### Start test loginNegativeTestPassword
25942 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
35965 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
35965 [Test worker] INFO  manager.NGListener  Start of the test: loginNegativeTestPassword
35965 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
35981 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
36212 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
36229 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
36509 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
36526 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
36800 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
36807 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successful
37579 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
47607 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
47607 [Test worker] INFO  manager.NGListener  Test success: loginNegativeTestPassword
47607 [Test worker] INFO  tests.TestBase     ### Finished ###
47608 [Test worker] INFO  tests.TestBase     ### Start test loginPositiveTest
47608 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
57626 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successful
57626 [Test worker] INFO  manager.NGListener  Start of the test: loginPositiveTest
57626 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
57642 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successful
57874 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
57892 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successful
58168 [Test worker] INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
58187 [Test worker] INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successful
